,ntacode,ntaname,count
0,BK43,Midwood,887
1,BK75,Bedford,9736
2,BX40,Fordham South,142
3,BK88,Borough Park,996
4,BK96,Rugby-Remsen Village,865
5,QN52,East Flushing,149
6,QN53,Woodhaven,495
7,BK44,Madison,375
8,QN48,Auburndale,53
9,BX44,Williamsbridge-Olinville,134
10,QN51,Murray Hill,560
11,QN27,East Elmhurst,1153
12,BK81,Brownsville,369
13,BK85,East New York (Pennsylvania Ave),54
14,BK41,Kensington-Ocean Parkway,1024
15,BX46,Parkchester,170
16,BK95,Erasmus,302
17,QN33,Cambria Heights,86
18,BK91,East Flatbush-Farragut,462
19,BK46,Ocean Parkway South,223
20,BK93,Starrett City,0
21,BK93,Starrett City,312
22,BX35,Morrisania-Melrose,182
23,QN29,Elmhurst,642
24,MN22,East Village,52102
25,QN44,Glen Oaks-Floral Park-New Hyde Park,301
26,BX33,Longwood,61
27,MN32,Yorkville,0
28,MN32,Yorkville,57466
29,MN40,Upper East Side-Carnegie Hill,84293
30,BK40,Windsor Terrace,2180
31,QN12,Hammels-Arverne-Edgemere,167
32,BX98,Rikers Island,0
33,BX27,Hunts Point,375
34,QN28,Jackson Heights,2912
35,BK27,Bath Beach,237
36,SI36,Old Town-Dongan Hills-South Beach,10
37,BK42,Flatbush,5226
38,BX34,Melrose South-Mott Haven North,366
39,BK79,Ocean Hill,810
40,MN09,Morningside Heights,10122
41,BX55,Soundview-Bruckner,138
42,BX31,Allerton-Pelham Gardens,126
43,QN06,Jamaica Estates-Holliswood,454
44,QN07,Hollis,57
45,BK58,Flatlands,325
46,BK82,East New York,949
47,BX30,Kingsbridge Heights,225
48,QN02,Springfield Gardens North,197
49,BK50,Canarsie,0
50,BK50,Canarsie,629
51,BX43,Norwood,70
52,MN06,Manhattanville,1334
53,MN23,West Village,139633
54,SI14,Grasmere-Arrochar-Ft. Wadsworth,17
55,QN34,Queens Village,445
56,MN27,Chinatown,24581
57,BX10,Pelham Bay-Country Club-City Island,0
58,BX10,Pelham Bay-Country Club-City Island,29
59,BX10,Pelham Bay-Country Club-City Island,148
60,BX10,Pelham Bay-Country Club-City Island,0
61,BX10,Pelham Bay-Country Club-City Island,0
62,BX10,Pelham Bay-Country Club-City Island,25
63,BX10,Pelham Bay-Country Club-City Island,0
64,BX10,Pelham Bay-Country Club-City Island,0
65,BX62,Woodlawn-Wakefield,150
66,QN71,Old Astoria,3448
67,QN70,Astoria,8154
68,MN50,Stuyvesant Town-Cooper Village,0
69,MN50,Stuyvesant Town-Cooper Village,15274
70,BK30,Dyker Heights,826
71,BK28,Bensonhurst West,598
72,SI22,West New Brighton-New Brighton-St. George,92
73,SI35,New Brighton-Silver Lake,33
74,SI07,Westerleigh,26
75,BX36,University Heights-Morris Heights,239
76,QN46,Bayside-Bayside Hills,745
77,BK61,Crown Heights North,16826
78,BX14,East Concourse-Concourse Village,439
79,QN26,North Corona,324
80,BK83,Cypress Hills-City Line,260
81,QN37,Kew Gardens Hills,384
82,QN38,Pomonok-Flushing Heights-Hillcrest,848
83,BK73,North Side-South Side,78370
84,MN28,Lower East Side,0
85,MN28,Lower East Side,0
86,MN28,Lower East Side,0
87,MN28,Lower East Side,0
88,MN28,Lower East Side,0
89,MN28,Lower East Side,18707
90,BK76,Greenpoint,12462
