,ntacode,ntaname,count
0,009259086,009259,0
1,001309003,001309,0
2,001355027,001355,0
3,001355010,001355,0
4,001355012,001355,0
5,001355021,001355,0
6,002538096,002538,0
7,002521015,002521,0
8,008418059,008418,2
9,002521006,002521,0
10,002521014,002521,0
11,002521016,002521,0
12,008504009,008504,0
13,008504010,008504,0
14,008504012,008504,0
15,003101021,003101,1
16,004512021,004512,0
17,005509016,005509,0
18,008307008,008307,5
19,001301059,001301,0
20,001301044,001301,1
21,008504051,008504,0
22,006209007,006209,0
23,001336023,001336,0
24,006409081,006409,0
25,008520013,008520,0
26,008520014,008520,0
27,008520017,008520,1
28,008520022,008520,0
29,008520026,008520,0
30,008520027,008520,0
31,006301063,006301,0
32,005201025,005201,0
33,005203011,005203,0
34,005203012,005203,0
35,005203024,005203,0
36,004524055,004524,0
37,004304072,004304,0
38,002409039,002409,0
39,002409042,002409,0
40,009203087,009203,0
41,009121066,009121,0
42,009251060,009251,1
43,008504001,008504,0
44,007301019,007301,0
45,004532024,004532,0
46,008515024,008515,2
47,004637053,004637,0
48,002611048,002611,1
49,002611049,002611,0
50,008520074,008520,0
51,004581077,004581,0
52,002308013,002308,1
53,004308007,004308,0
54,002430016,002430,0
55,001355039,001355,0
56,002607023,002607,0
57,006209005,006209,0
58,002525006,002525,0
59,005502003,005502,0
60,005502025,005502,0
61,005502030,005502,0
62,005502034,005502,1
63,008401005,008401,5
64,002521058,002521,0
65,004611002,004611,0
66,002521099,002521,0
67,008530012,008530,1
68,001331023,001331,0
69,004408026,004408,0
70,009113027,009113,3
71,004623073,004623,0
72,004545095,004545,0
73,002103040,002103,0
74,009208044,009208,0
75,009236025,009236,0
76,009208021,009208,1
77,009208022,009208,0
78,009208031,009208,0
79,009208032,009208,0
80,009208034,009208,0
81,002534005,002534,0
82,002302020,002302,0
83,006406007,006406,1
84,006107020,006107,0
85,009202076,009202,0
86,002539081,002539,0
87,002408040,002408,0
88,009212039,009212,1
89,002408045,002408,0
90,005102002,005102,0
91,008201012,008201,3
92,005204002,005204,0
93,006413001,006413,0
94,009242007,009242,0
95,006413007,006413,0
96,009242001,009242,0
97,008201010,008201,0
98,004637054,004637,0
99,002615017,002615,0
100,001113020,001113,0
101,007309002,007309,0
102,002411047,002411,0
103,005308049,005308,0
104,005206001,005206,0
105,006107001,006107,0
106,005206030,005206,0
107,002518031,002518,0
108,001301046,001301,0
109,006504001,006504,0
110,001325098,001325,0
111,001325099,001325,0
112,009208039,009208,0
113,009208042,009208,0
114,009208048,009208,0
115,009208050,009208,0
116,006216008,006216,0
117,009252048,009252,0
118,009252051,009252,0
119,009208070,009208,1
120,001328067,001328,0
121,001322010,001322,0
122,001355034,001355,0
123,001355035,001355,0
124,006313012,006313,1
125,006313013,006313,2
126,009252064,009252,0
127,001355036,001355,0
128,001355038,001355,0
129,002456093,002456,0
130,005621014,005621,0
131,005621096,005621,1
132,006313024,006313,0
133,006313026,006313,4
134,006313027,006313,2
135,006313028,006313,2
136,006313043,006313,0
137,006313055,006313,0
138,006313056,006313,0
139,004551003,004551,0
140,009231035,009231,0
141,003211021,003211,0
142,006407005,006407,0
143,004101020,004101,0
144,001414020,001414,0
145,009217012,009217,0
146,006402046,006402,0
147,002517006,002517,0
148,005304053,005304,1
149,005201034,005201,1
150,005201035,005201,0
151,005201038,005201,0
152,008404039,008404,6
153,003204006,003204,0
154,008307001,008307,11
155,004641063,004641,0
156,007301001,007301,0
157,001324002,001324,0
158,007404001,007404,0
159,002574012,002574,0
160,002616089,002616,0
161,001350009,001350,1
162,006407006,006407,0
163,006502018,006502,0
164,002571085,002571,0
165,002571099,002571,0
166,006320044,006320,2
167,005606037,005606,1
168,002415016,002415,0
169,002415017,002415,0
170,004208042,004208,0
171,005660046,005660,0
172,002578045,002578,0
173,002571037,002571,0
174,004533070,004533,0
175,004539009,004539,0
176,004539010,004539,0
177,004594021,004594,0
178,004594029,004594,0
179,009242004,009242,0
180,009242005,009242,0
181,006413040,006413,0
182,004405058,004405,0
183,004583053,004583,0
184,004522093,004522,0
185,002583036,002583,0
186,002415022,002415,0
187,002415018,002415,0
188,008313002,008313,0
189,009210029,009210,0
190,009252069,009252,0
191,009252089,009252,0
192,005667018,005667,0
193,006514052,006514,0
194,006107004,006107,0
195,001324023,001324,0
196,001108015,001108,0
197,004511072,004511,0
198,002625061,002625,0
199,009221021,009221,1
200,004537005,004537,1
201,001314014,001314,0
202,007202001,007202,0
203,004552062,004552,0
204,004552064,004552,1
205,004537006,004537,0
206,004537009,004537,1
207,004537008,004537,2
208,004545016,004545,0
209,002539002,002539,0
210,008504019,008504,0
211,001308090,001308,0
212,001309015,001309,0
213,008516016,008516,1
214,008504022,008504,0
215,008504024,008504,0
216,008504040,008504,0
217,008504023,008504,0
218,002539040,002539,0
219,004631058,004631,0
220,009111021,009111,2
221,004537015,004537,0
222,004589054,004589,0
223,002590028,002590,0
224,002571028,002571,0
225,002571032,002571,0
226,002571081,002571,0
227,001418087,001418,1
228,001431047,001431,0
229,002415020,002415,0
230,002415021,002415,1
231,002584009,002584,0
232,002591006,002591,0
233,002557016,002557,0
234,002599003,002599,0
235,002636013,002636,0
236,002636014,002636,0
237,002591003,002591,0
238,002591004,002591,0
239,005649009,005649,0
240,002571046,002571,0
241,002571050,002571,0
242,002571054,002571,0
243,002599004,002599,0
244,002599009,002599,0
245,004594059,004594,0
246,004594034,004594,0
247,004594039,004594,0
248,002571041,002571,0
249,002578019,002578,0
250,005660073,005660,0
251,002578020,002578,0
252,002578021,002578,0
253,002578026,002578,0
254,004594049,004594,0
255,004594076,004594,0
256,009242044,009242,0
257,006302010,006302,0
258,006103070,006103,0
259,002543037,002543,0
260,002578030,002578,0
261,002584013,002584,0
262,001102060,001102,2
263,009242029,009242,0
264,004402010,004402,0
265,004404048,004404,0
266,001301049,001301,0
267,004404050,004404,0
268,001301053,001301,0
269,004593009,004593,0
270,004593012,004593,1
271,005680004,005680,0
272,004404051,004404,0
273,004404052,004404,0
274,004404053,004404,0
275,001301055,001301,0
276,004404054,004404,0
277,004404061,004404,0
278,004405001,004405,0
279,004404047,004404,0
280,002614003,002614,0
281,002615063,002615,0
282,004519094,004519,0
283,004308028,004308,0
284,004308032,004308,0
285,004537002,004537,0
286,004537004,004537,0
287,001308077,001308,0
288,001312026,001312,0
289,004637021,004637,0
290,002584019,002584,0
291,002592025,002592,0
292,001308059,001308,0
293,001308098,001308,1
294,009202067,009202,1
295,002582027,002582,0
296,002570078,002570,0
297,008412042,008412,1
298,004522096,004522,0
299,004569033,004569,0
300,008519055,008519,0
301,002630034,002630,0
302,004539058,004539,0
303,002415027,002415,3
304,002415033,002415,0
305,002311003,002311,1
306,002570077,002570,0
307,004503099,004503,0
308,002415037,002415,0
309,002571022,002571,0
310,002576098,002576,0
311,002576099,002576,0
312,002311002,002311,0
313,001419002,001419,0
314,001419005,001419,0
315,002577006,002577,0
316,002577009,002577,0
317,002577010,002577,0
318,002582033,002582,0
319,002582034,002582,0
320,002426049,002426,0
321,009231020,009231,0
322,002582047,002582,0
323,002583023,002583,0
324,002583025,002583,0
325,002590032,002590,0
326,002209041,002209,0
327,004539012,004539,0
328,004402005,004402,0
