,SCaCodigo,SCaNombre,count
0,205109,LA MAGDALENA I,57
1,205227,OSORIO IX,1
2,208128,TORCA II,3
3,105203,OSORIO II,2
4,201109,INGEMAR I,1
5,201110,INGEMAR ORIENTAL I,3
6,201317,TIBAQUE III,1
7,201408,LA PERSEVERANCIA I,0
8,001340,TIHUAQUE,4
9,002305,LIBERTADOR,26
10,004501,HIPOTECHO,37
11,002550,DUITAMA,0
12,002533,SOTAVENTO,6
13,004565,TOCAREMA,13
14,004516,BOITA,19
15,009224,NUEVA TIBABUYES,52
16,009103,CANTAGALLO,213
17,005616,LOS CEREZOS,42
18,104129,EL MOCHUELO II,0
19,006534,EL TINTAL IV,5
20,009209,VILLA MARIA,21
21,006208,ORTEZAL,53
22,004413,AUTOPISTA MUZU ORIENTAL,19
23,004540,CATALINA II,15
24,003110,LA CATEDRAL,19
25,002626,BOLONIA I,0
26,004205,PRIMAVERA OCCIDENTAL,29
27,002585,EL MOCHUELO URBANO,0
28,202511,PUERTA AL LLANO RURAL,0
29,102601,CENTRO USME RURAL,0
30,002577,DANUBIO II,2
31,004103,VOTO NACIONAL,8
32,002602,FISCALA ALTA,1
33,002599,CENTRO USME URBANO,18
34,008306,PORCIUNCULA,44
35,002619,VILLA ANITA,1
36,004630,PARCELA EL PORVENIR,52
37,009215,CASABLANCA SUBA,74
38,002604,LOS OLIVARES,1
39,002642,EL PORTAL URBANO,0
40,002535,PALERMO SUR,2
41,002302,SANTANDER SUR,7
42,002104,RESTREPO OCCIDENTAL,31
43,002107,LA FRAGUA,15
44,004107,SANTA ISABEL SUR,31
45,002106,SENA,2
46,002103,RESTREPO,25
47,001316,MORALBA,5
48,002414,ISMAEL PERDOMO,1
49,109112,CAPITOLIO,0
50,008220,SIBERIA CENTRAL,4
51,004521,LA ESTACION BOSA,7
52,008415,SANTA BARBARA CENTRAL,623
53,002594,VILLA ISRAEL,2
54,005660,SAN ANTONIO URBANO,2
55,005505,BOSQUE POPULAR,16
56,004545,CATALINA,17
57,002598,EL MOCHUELO II URBANO,1
58,102502,EL UVAL RURAL,3
59,004524,SAN PABLO BOSA,9
60,001344,LOS SOCHES,1
61,002630,EL PORTAL DEL DIVINO,1
62,001415,MARCO FIDEL SUAREZ I,7
63,004553,ANDALUCIA II,6
64,004622,BRASIL,13
65,006523,SAN PEDRO DE LOS ROBLES,5
66,001350,YOMASA,3
67,102115,LA UNION,0
68,008532,EL REDIL,49
69,001101,LAS BRISAS,15
70,104110,QUIBA BAJO,0
71,004641,LA INDEPENDENCIA,16
72,005655,GARCES NAVAS SUR,15
73,005632,BOCHICA,54
74,002412,VERONA,5
75,002519,DANUBIO,7
76,103107,LAS PALMAS,0
77,004519,ESCOCIA,10
78,004507,CIUDAD KENNEDY SUR,20
79,001357,SANTA INES SUR II,6
80,002547,EL TESORO,1
81,004546,VILLA DEL RIO,38
82,007406,SANTA SOFIA,10
83,005507,NORMANDIA,74
84,005663,EL DORADO INDUSTRIAL,98
85,006415,LA LAGUNA FONTIBON,11
86,002456,QUIBA I,2
87,004560,SAUCEDAL,0
88,001307,RAMAJAL,2
89,008529,SAN JOSE DE USAQUEN,69
90,101302,MOLINO RURAL,0
91,007104,TEUSAQUILLO,45
92,001355,LAS GUACAMAYAS I,2
93,004594,SAN ANTONIO,11
94,002561,CORDILLERA DEL SUR,0
95,109105,SANTO DOMINGO,0
96,002501,SAN CARLOS,10
97,009211,EL POA,51
98,009249,VEREDA SUBA NARANJOS,71
99,004207,GORGONZOLA,4
100,004570,ANTONIA SANTOS,4
101,009227,LECH WALESA,5
102,009261,TUNA,0
103,004109,VERAGUAS,14
104,005604,EL REAL,18
105,002640,EL PEDREGAL II,0
106,008309,LA CABRERA,148
107,001432,DIANA TURBAY CULTIVOS,1
108,105103,SAN PEDRO,0
109,006406,VILLEMAR,55
110,001115,MONTE CARLO,0
111,002534,CASA DE TEJA,1
112,007307,MUEQUETA,7
113,202506,EL NUEVO PORTAL II RURAL,0
114,201404,LA PEÃA RURAL,0
115,002540,ESTRELLA DEL SUR,5
116,009216,LA GAITANA,14
117,107101,GUAYMARAL,41
118,004502,HIPOTECHO OCCIDENTAL,75
119,006516,TINTALA,229
120,006529,EL VERGEL ORIENTAL,36
121,104107,BELLA FLOR SUR RURAL,0
122,005627,GARCES NAVAS,35
123,004542,ALQUERIA LA FRAGUA NORTE,8
124,108112,PARAMO II RURAL,0
125,006212,SALAZAR GOMEZ,10
126,002636,LA HUERTA,0
127,004532,LA CECILIA,6
128,002618,PUERTA AL LLANO DE USME,3
129,004529,CEMENTERIO JARDINES APOGEO,6
130,004631,EL CORZO,36
131,002597,LA FISCALA NORTE,8
132,001202,CIUDAD BERNA,23
133,002634,EL TUNO,4
134,001324,EL PINAR,11
135,006527,INTERINDUSTRIAL,2
136,002558,VILLAS EL DIAMANTE,1
137,002637,ARRAYANES VI,0
138,005683,QUIRIGUA I,3
139,005404,LAS FERIAS,15
140,005501,PALO BLANCO,16
141,004597,SAN BERNARDINO I,3
142,002548,EL VIRREY,22
143,004539,GRAN COLOMBIANO,8
144,002511,LA PICOTA,2
145,006504,BAVARIA,38
146,002635,BRISAS DEL LLANO,0
147,004574,CHARLES DE GAULLE,3
148,002518,RONDA,8
149,001331,ALTOS DEL ZUQUE,2
150,004549,NUEVA YORK,3
151,004308,COLON,14
152,007407,LA AURORA,8
153,002629,EL NEVADO II,0
154,007402,JUAN XXIII,16
155,008310,EL RETIRO,73
156,004102,LA SABANA,6
157,002557,JUAN JOSE RONDON,5
158,004511,CIUDAD KENNEDY CENTRAL,30
159,009220,LAGO DE SUBA,19
160,103105,LAS AURAS,0
161,009122,LAS VILLAS,173
162,009254,LISBOA,14
163,208108,SAN ISIDRO RURAL,0
164,009114,GILMAR,165
165,002405,ESCUELA GENERAL SANTANDER,7
166,001358,CHIGUAZA URBANO,0
167,205319,SAN BERNARDINO XIX,22
168,004555,PATIO BONITO II,9
169,004305,LA PRADERA,4
170,004579,ESCOCIA,5
171,006423,EL TINTAL CENTRAL,147
172,001113,SAN BLAS II,1
173,009138,CASABLANCA SUBA URBANO I,0
174,008424,SEGUNDO CONTADOR,10
175,006528,EL VERGEL,9
176,103108,LOS RIOS,0
177,002527,LA CABANA,3
178,006517,MARIA PAZ,6
179,008530,LAS MARGARITAS,118
180,008510,ACACIAS USAQUEN,328
181,006216,CIUDAD SALITRE NOR-ORIENTAL,28
182,109109,TUNAL ALTO,0
183,005665,MARANDU,18
184,005111,LA ESMERALDA,27
185,007201,CAMPIN,19
186,002434,JERUSALEN,2
187,001345,DONA LILIANA,0
188,204104,PASQUILLA URBANA,0
189,005406,BONANZA,47
190,006312,MODELIA OCCIDENTAL,117
191,005202,DOCE DE OCTUBRE,13
192,005206,LA LIBERTAD,49
193,001306,SAN PEDRO,10
194,001110,SAN JAVIER,4
195,005102,POPULAR MODELO,57
196,008418,SAN PATRICIO,482
197,005658,VILLA SAGRARIO,3
198,004635,SAN BERNARDINO II,6
199,001106,SAN BLAS,1
200,001322,SAN RAFAEL USME,2
201,001334,LAS GAVIOTAS,4
202,009236,LA CAROLINA DE SUBA,3
203,005640,BOLIVIA ORIENTAL,19
204,009267,VILLA MARIA I,14
205,005644,BOCHICA II,82
206,009213,EL PINO,110
207,006106,EL LISTON,19
208,001425,GRANJAS DE SANTA SOFIA,1
209,001406,SAN ISIDRO,5
210,006510,VILLA ALSACIA II,30
211,102602,CENTRO USME RURAL I,0
212,006501,COOPERATIVA DE SUB-OFICIALES,6
213,104118,CIUDAD BOLIVAR RURAL III,0
214,005401,POTOSI,166
215,009109,NIZA SUR,104
216,001102,BUENOS AIRES,21
217,009228,LOMBARDIA,36
218,001434,CARMEN DEL SOL,3
219,001317,PUENTE COLORADO,0
220,001320,NUEVA GLORIA,1
221,001329,EL PARAISO,4
222,006215,PUENTE ARANDA,16
223,007208,BANCO CENTRAL,27
224,002545,EL SATELITE,8
225,002627,LA REFORMA,1
226,001328,SANTA RITA SUR ORIENTAL,3
227,004558,CAMPO HERMOSO,2
228,006502,MARSELLA,85
229,002512,AREA ARTILLERIA,2
230,009134,SAN JOSE V SECTOR,4
231,009219,CAMPANELLA,58
232,009247,IRAGUA,7
233,201503,SIBERIA  II,0
234,004512,TIMIZA,11
235,004510,CIUDAD KENNEDY ORIENTAL,24
236,008417,SANTA BARBARA OCCIDENTAL,929
237,008307,CHICO NORTE,388
238,005506,JARDIN BOTANICO,40
239,004309,LA CAMELIA,14
240,005673,PUEBLO VIEJO,0
241,007405,ONCE DE NOVIEMBRE,6
242,006311,MODELIA,81
243,009239,LAS MERCEDES SUBA,0
244,202502,EL UVAL,0
245,002509,SAN BENITO,1
246,002593,TUNJUELITO,0
247,008413,SANTA BARBARA ORIENTAL,112
248,002625,ARRAYANES V,3
249,001111,SANTA ANA SUR,13
250,001107,LAS MERCEDES,4
251,002437,LA PRADERA,2
252,107112,LA LOMITA,47
253,002102,SAN ANTONIO,36
254,002542,SERRANIAS,1
255,001413,LA RESURRECCION,4
256,004583,ARGELIA II,1
257,009206,AURES II,20
258,009140,NUESTRA SENORA DEL ROSARIO,0
259,002403,VENECIA OCCIDENTAL,19
260,105325,SAN BERNARDINO XXV,0
261,103104,LAS ANIMAS,0
262,208110,SAN LUIS ALTOS DEL CABO RURAL,0
263,002410,PARQUE EL TUNAL,5
264,002404,VENECIA,38
265,001319,LA GLORIA ORIENTAL,8
266,108108,PARAMO II,0
267,008411,RINCON DEL CHICO,203
268,008404,BELLA SUIZA,311
269,005108,CIUDAD UNIVERSITARIA,159
270,004541,EL PARAISO BOSA,4
271,109104,SAN JUAN,0
272,002544,LOS LAURELES II,11
273,008211,JUAN XXIII,1
274,006306,GRANJAS DE TECHO,8
275,005117,RAFAEL NUNEZ,17
276,004596,ALQUERIA LA FRAGUA II,7
277,004567,VILLAS DEL PROGRESO,5
278,004537,CASABLANCA,21
279,004564,TAIRONA,2
280,004212,TIBANA,33
281,008402,COUNTRY CLUB,85
282,008401,LA CALLEJA,412
283,005667,CENTRO ENGATIVA II,25
284,005308,RIONEGRO,16
285,006515,VALLADOLID,58
286,002552,JUAN PABLO II,4
287,009212,SUBA URBANO,92
288,202410,TOCAIMITA ORIENTAL,0
289,107106,TUNA RURAL,7
290,009263,VILLA ALCAZAR,16
291,005630,CIUDAD BACHUE,1
292,008513,LISBOA,290
293,008315,CHICO NORTE III SECTOR,419
294,008412,SANTA BIBIANA,438
295,008414,SANTA ANA OCCIDENTAL,86
296,009127,ANDES NORTE,39
297,005403,JULIO FLOREZ,90
298,004531,MANDALAY,55
299,209104,SAN JUAN URBANO,0
300,001428,CERROS DE ORIENTE,8
301,102111,LOS ARRAYANES,0
302,103203,EL TABACO,0
303,204106,NUEVA ESPERANZA,0
304,204107,EL MIRADOR II,0
305,004634,CANAVERALEJO,7
306,009115,IBERIA,242
307,005661,LUIS CARLOS GALAN,3
308,008202,EMAUS,28
309,005654,GRAN GRANADA,48
310,004528,PASO ANCHO,8
311,005304,LA CASTELLANA,99
312,004544,LAS DELICIAS,36
313,002507,ABRAHAM LINCOLN,3
314,002632,LA REQUILINA,1
315,006505,PIO XII,57
316,002304,SANTIAGO PEREZ,3
317,105318,SAN BERNARDINO XVIII,5
318,002613,EL PROGRESO USME,9
319,008425,GINEBRA II,27
320,002541,GRANADA SUR,3
321,005636,ENGATIVA ZONA URBANA,22
322,006533,EL TINTAL III,3
323,006418,PUENTE GRANDE,3
324,006503,VISION DE ORIENTE,7
325,002520,LAS MANAS,1
326,002565,PARAISO QUIBA,2
327,001419,CALLEJON SANTA BARBARA,6
328,006405,FERROCAJA FONTIBON,146
329,205308,CANAVERALEJO RURAL,0
330,004101,RICAURTE,11
331,001431,LA RESURRECCION I,1
332,009240,POTRERILLO,5
333,001321,SAN MARTIN SUR,3
334,002508,TUNJUELITO,17
335,002506,GRAN YOMASA,14
336,002504,COMPARTIR,7
337,002571,ANTONIO JOSE DE SUCRE,2
