no;nombre_del_museo;telefono_fijo;celular;correo_electrãnico;pagina_web;direccion;localidad;upz;nombre_de_la_entidad_administradora_del_equipamiento;ano_inicio;caracter;del_orden;uso_principal
2;SAN JOSE FUNDACIÓN DE EDUCACIÓN SUPERIOR INSTITUCION TECNOLOGICA;3470000;3166066390;BIBLIOTECA@FESSANJOSE.EDU.CO;http://usanjose.edu.co/;AK 14 63 21;BARRIOS UNIDOS;LOS ALCAZARES;SAN JOSÉ FUNDACIÓN EDUCACIÓN SUPERIOR;1996;PRIVADO;;Centro Cultural y Artístico
2;CENTRO DE DESARROLLO COMUNITARIO LA GIRALDA;4181949 EXT 105-11;N.D;LPOLANIA@INTEGRACIONSOCIAL.GOV.CO;http://www.integracionsocial.gov.co/;KR 104B 22J 15;FONTIBÓN;FONTIBON;SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL;2010;PÚBLICO;DISTRITAL;Centro Cultural y Artístico
4;ACADEMIA DE BAILE ALMA DE TANGO;2558185 -  4815923;3105506857;academiaalmadetango@hotmail.com;http://www.almadetango.co/#/showreel;KR 27 51 10;TEUSAQUILLO;GALERIAS;GINNA MEDINA;2002;PRIVADO;;Centro cultural y artístico
4;CLAN RAFAEL URIBE URIBE;3795750 EXT 426 - 427;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;CL 27A 15 51 SUR;RAFAEL URIBE URIBE;SAN JOSE;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
1;ASOCIACIÓN CULTURAL MURO DE ESPUMA;6721110;N.D;N.D;N.D;KR 16A 155A 32;USAQUÉN;SAN CRISTOBAL NORTE;ASOCIACIÓN CULTURAL MURO DE ESPUMA;N.D;PRIVADO;;Centro cultural y artístico
2;CENTRO CULTURAL GABRIEL GARCÍA MÁRQUEZ;2832200;3103814985;coordiandorsulturalyacademico@fce.com.co;http://www.fce.com.co/CCGGM;CL 11 5 60;CANDELARIA;LA CANDELARIA;FONDO DE CULTURA ECONÓMICA;2008;PRIVADO;;Centro cultural y artístico
3;CENTRO MUSICAL JERUSALEM;8106098;3115646521;leninsilva@fundacionbatuta.org;http://www.fundacionbatuta.org/;KR 42 73A 10 SUR;CIUDAD BOLÍVAR;JERUSALEM;FUNDACIÓN NACIONAL BATUTA;1994;PÚBLICO;NACIONAL;Centro Cultural y Artístico
4;CLAN USME LA LIRA;N.D;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;AK 14 117 65 SUR;USME;COMUNEROS;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
6;CASONA DE LA DANZA;3795750 EXT 345;3114676319;santiago.murcia@idartes.gov.co;http://www.idartes.gov.co;KR 5 ESTE 17 01;CANDELARIA;LA CANDELARIA;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;DISTRITAL;Centro cultural y artístico
6;GOETHE-INSTITUT KOLUMBIEN;6018600;3123842999;c.garcia@bogota.goethe.org;http://www.goethe.de/ins/co/de/bog.html?wt_sc=bogota;KR 11A 93 52;CHAPINERO;CHICO LAGO;GOETHE-INSTITUT KOLUMBIEN;1998;PRIVADO;;Centro Cultural y Artístico
2;CENTRO CULTURAL SKANDIA;6584000;N.D;centrocultural@oldmutual.com.co?;https://www.oldmutual.com.co/centro-cultural/Paginas/default.aspx;AK 19 109A 30;USAQUÉN;SANTA BARBARA;CENTRO CULTURAL SKANDIA;N.D;PRIVADO;;Centro Cultural y Artístico
3;FUNDACIÓN SEMILLITO;2820688;3118372637;fundacionsemillito@gmail.com ;http://semillito.blogspot.com/;CL 87 SUR 17 A 21 ESTE;USME;LA FLORA;FUNDACIÓN SEMILLITO;2003;PRIVADO;;Centro cultural y artístico
8;SPRACH INSTITUT;2884906;N.D;info@sprachintitut-icca.com;http://www.sprachinstitut-icca.com/;KR 7 42 11;CHAPINERO;CHAPINERO;SPRACH INSTITUT;2003;PRIVADO;;Centro Cultural y Artístico
3;CLAN FINTIBÓN VILLEMAR;4159077;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;CL 20C 96C 51;FONTIBÓN;FONTIBON;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
12;CLAN KENNEDY LAS DELICIAS;N.D;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;AK 72 43A 62 SUR;KENNEDY;CARVAJAL;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro Cultural y Artístico
6;ESPACIO ADECUADO FONTIBÓN MISAK;N.D;N.D;N.D;N.D;KR 125 20 10;FONTIBÓN;FONTIBON SAN PABLO;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro Cultural y Artístico
1;CLAN MÁRTIRES LA PEPITA;N.D;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;KR 25 10 78;LOS MÁRTIRES;LA SABANA;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
5;INSTITUTO CULTURAL LEÓN TOLSTOI;4801226 - 2823427;N.D;icleontolstoi@gmail.com / icleontolstoi@yahoo.com;http://www.institutoleontolstoi.com.co/;CL 12C 3 86;CANDELARIA;LA CANDELARIA;INSTITUTO CULTURAL LEÓN TOLSTOI;1983;PRIVADO;;Centro cultural y artístico
6;CLAN SUBA VILLA MARIA;6936941;N.D;N.D;http://www.clan.gov.co/clan/territorio-clan;CL 139 110 05;SUBA;EL RINCON;INSTITUTO DISTRITAL DE LAS ARTES - IDARTES;N.D;PÚBLICO;LOCAL;Centro cultural y artístico
