ID;ID Prestador *;Tipo Sistema;Tipo Infraestructura;Estructura;Estado en Red;Altura (m);Capacidad (m3);Detalle;Observaciones;Latitud;Longitud
11;1;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;2903;52.23;No. 1;;4.673639;-74.029806
12;1;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;2590;65.37;No. 2;;4.819861;-74.030861
13;1;Acueducto;Estructura de red;Planta de tratamiento de agua potable;Servicio;2904;3;;;4.673611;-74.029778
14;1;Acueducto;Estructura de red;Bocatoma;Servicio;3097;0.76;;;4.660167;-74.029333
15;1;Alcantarillado;Estructura de red;Descarga;Servicio;2832;0;;;4.675444;-74.030056
21;2;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3086;640;Principal;;4.665636;-74.022158
22;2;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3084;20;Verde;;4.665828;-74.022142
23;2;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3172;100;Sector M;;4.650389;-74.025464
24;2;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3053;280;De la planta de tratamiento de agua potable;;4.666097;-74.020842
25;2;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3136;760;Tanque nuevo;;4.663008;-74.022547
26;2;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3137;460;Las Moyas;;4.661856;-74.022497
27;2;Acueducto;Estructura de red;Planta de tratamiento de agua potable;Servicio;3082;16;Antigua;;4.665939;-74.022089
28;2;Acueducto;Estructura de red;Planta de tratamiento de agua potable;Servicio;3057;30;Nueva;;4.66595;-74.020947
29;2;Acueducto;Estructura de red;Estación de bombeo;Servicio;3055;0;No. 1;;4.665972;-74.020794
210;2;Acueducto;Estructura de red;Desarenador;Servicio;2995;2.5;Antiguo;;4.652975;-74.013697
211;2;Acueducto;Estructura de red;Desarenador;Servicio;2985;9;Nuevo;;4.652508;-74.013586
212;2;Acueducto;Estructura de red;Bocatoma;Servicio;2981;6.5;Río Teusaca;;4.66075;-74.013528
213;2;Acueducto;Estructura de red;Bocatoma;Servicio;3230;1;Las Moyas;;4.659694;-74.024333
214;2;Acueducto;Estructura de red;Bocatoma;Servicio;3000;9;Quebrada Amarilla;;4.652778;-74.014389
215;2;Alcantarillado;Estructura de red;Descarga;Servicio;2927;0;No. 1;;4.672922;-74.018221
216;2;Alcantarillado;Estructura de red;Descarga;Servicio;2904;0;No. 2, Quebrada La Sureña;;4.67418;-74.022554
31;3;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3170;0;;;4.663169;-74.025558
32;3;Acueducto;Estructura de red;Bocatoma;Servicio;3206;0;No. 1;;4.659694;-74.024333
33;3;Acueducto;Estructura de red;Bocatoma;Servicio;3199;0;No. 2;;4.660389;-74.025083
34;3;Acueducto;Estructura de red;Pileta;Servicio;3167;0;No. 8;;4.664367;-74.025606
35;3;Acueducto;Estructura de red;Pileta;Servicio;3163;0;No. 2;;4.663364;-74.025031
36;3;Acueducto;Estructura de red;Pileta;Servicio;3162;0;No. 3;;4.663728;-74.025086
37;3;Acueducto;Estructura de red;Pileta;Servicio;3165;0;No. 1;;4.663225;-74.025086
38;3;Acueducto;Estructura de red;Pileta;Servicio;3164;0;No. 4;;4.664797;-74.025536
39;3;Acueducto;Estructura de red;Pileta;Servicio;3154;0;No. 5;;4.665075;-74.025094
310;3;Acueducto;Estructura de red;Pileta;Servicio;3148;0;No. 6;;4.665458;-74.024853
311;3;Acueducto;Estructura de red;Pileta;Servicio;3149;0;No. 7;;4.665919;-74.024956
41;4;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3455;110.84;No. 1;;4.412111;-74.170361
42;4;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Fuera de servicio;3456;0;No. 2;Tanque obsoleto;4.411917;-74.170306
43;4;Acueducto;Estructura de red;Planta de tratamiento de agua potable;Servicio;3454;1.5;;;4.411972;-74.170333
44;4;Acueducto;Estructura de red;Desarenador;Servicio;3574;3.65;;;4.415889;-74.184083
45;4;Acueducto;Estructura de red;Bocatoma;Servicio;3582;4.94;;;4.416417;-74.1855
51;5;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3446;38;Vereda Las Mercedes;;4.397243;-74.191652
52;5;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3388;49.5;Vereda El Hato;;4.367306;-74.164
53;5;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3386;37;Vereda Santa Barbara;;4.407917;-74.157972
54;5;Acueducto;Estructura de red;Planta de tratamiento de agua potable;Servicio;3461;4;;;4.404565;-74.186355
55;5;Acueducto;Estructura de red;Desarenador;Servicio;3465;3.38;;;4.396975;-74.193317
56;5;Acueducto;Estructura de red;Bocatoma;Servicio;3474;19.55;;;4.397003;-74.193579
61;6;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3097;40;No. 1;;4.479833;-74.15975
62;6;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3194;89.38;No. 2;;4.481528;-74.164472
63;6;Acueducto;Estructura de red;Planta de tratamiento de agua potable;Servicio;3156;0.5;No. 1;;4.481889;-74.162583
64;6;Acueducto;Estructura de red;Planta de tratamiento de agua potable;Servicio;3193;5;No. 2;;4.481556;-74.164556
65;6;Acueducto;Estructura de red;Desarenador;Servicio;3173;3.485;No. 1;;4.481833;-74.163667
66;6;Acueducto;Estructura de red;Desarenador;Servicio;3207;3.03;No. 2;;4.481639;-74.16475
67;6;Acueducto;Estructura de red;Bocatoma;Servicio;3183;5.077;No. 1;;4.481556;-74.164028
68;6;Acueducto;Estructura de red;Bocatoma;Servicio;3208;0.77;No. 2;;4.481639;-74.164806
71;7;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3260;110;No. 1;;4.506972;-74.175083
72;7;Acueducto;Estructura de red;Tanque de almacenamiento de agua potable;Servicio;3176;105;No. 2;;4.528583;-74.184083
73;7;Acueducto;Estructura de red;Planta de tratamiento de agua potable;Servicio;3261;4;;;4.506806;-74.174944
74;7;Acueducto;Estructura de red;Desarenador;Servicio;3278;14.91;;;4.493389;-74.187972
75;7;Acueducto;Estructura de red;Bocatoma;Servicio;3266;0;;;4.482556;-74.192917
76;7;Acueducto;Estructura de red;Bocatoma;Servicio;3247;15.62;;;4.482361;-74.193083
81;8;Acueducto;Estructura de red;Planta de tratamiento de agua potable;Servicio;3015;10;;;4.509222;-74.155528
82;8;Acueducto;Estructura de red;Desarenador;Servicio;3020;19.11;;;4.509722;-74.156417
83;8;Acueducto;Estructura de red;Bocatoma;Servicio;3018;29.19;No. 1;;4.509806;-74.156556
84;8;Acueducto;Estructura de red;Bocatoma;Servicio;3019;0;No. 2;;4.509778;-74.156694
85;8;Acueducto;Estructura de red;Bocatoma;Servicio;3046;2;No. 3;;4.508889;-74.157611
