Direccion;Barrio;Latitud;Longitud;Tipo_vivienda;Dproymes;Localidad;Cod_proyecto;Proyecto;
Cr. 92 # 149-30;Campiña;4.7447;-74.084;No VIS;3;Suba;20275;Colinas de Suba;
Cr. 7 # 126-30;Pinar de Santa Bárbara;4.7016;-74.0282;No VIS;38;Usaquén;30712;Reserva de la Sierra;
Tv. 19A # 96-56;Chicó;4.684;-74.0535;No VIS;2;Chapinero;30959;Oqyana;
Av. Suba con 119;Córdoba;4.7066;-74.0675;No VIS;18;Suba;31238;Provenza Imperial;
Cl. 94 # 21-59;Chicó;4.6816;-74.0568;No VIS;5;Chapinero;31422;Art 94;
Cl. 140 # 20-35;Nueva Autopista;4.7236;-74.0485;No VIS;2;Usaquén;31428;Axxes 140;
Cl. 133 # 19-59;Calleja;4.7166;-74.0479;No VIS;24;Usaquén;31451;Area 19;
Cl. 92 # 14-23;Chicó;4.6754;-74.0522;No VIS;5;Chapinero;31486;Massilia;
Cl. 88 # 13-25;Cabrera;4.6719;-74.0524;No VIS;4;Chapinero;31502;El Palco;
Cr. 18C # 123-83;Santa Bárbara;4.7042;-74.0483;No VIS;2;Usaquén;31512;Absolut 123;
Cr. 23 # 137-41;Nueva Autopista;4.723;-74.0503;No VIS;3;Usaquén;31521;Parque de Alcalá;
Tv. 88 # 145-32;Suba;4.7385;-74.0827;No VIS;8;Suba;31542;Cerros de la Lorena;
Cr. 7 # 93-20;Chicó;4.6727;-74.0429;No VIS;2;Chapinero;31567;Vitrum;
Cl. 139 # 96A-35;Suba;4.7387;-74.092;No VIS;63;Suba;31588;Altos de San Jorge;
Cl. 153 # 109B-18;Las Mercedes;4.7575;-74.0946;No VIS;16;Suba;31591;Bosque de Tulipanes;
Cl. 127BBis # 19-36;Calleja;4.7096;-74.049;No VIS;4;Usaquén;31600;Montserrat 127..;
Cr. 89 # 147B-68;S. C. Suba Urbano;4.743;-74.082;No VIS;2;Suba;31605;Agora Casas;
Cl. 121 # 3A-20;Pinar de Santa Bárbara;4.6954;-74.0267;No VIS;7;Usaquén;31613;Cerros de los Alpes III;
Cr. 8 # 127A-01;Bella Suiza;4.7046;-74.0323;No VIS;3;Usaquén;31629;Parque BS;
Dg. 72 # 1-52 Este;Rosales;4.6531;-74.0507;No VIS;5;Chapinero;31635;Lumini;
Cr. 19A # 107-14;Chicó Navarra;4.6948;-74.0512;No VIS;1;Usaquén;31646;Paloalto;
Tv. 5 # 86-91;Rosales;4.6664;-74.045;No VIS;4;Chapinero;31651;Cenit de la Cabrera;
Cr. 16 # 101-46;San Patricio;4.6868;-74.0485;No VIS;1;Usaquén;31652;Tekto Navarra;
Av. Cl. 145 # 114A-50;Córdoba;4.6975;-74.0688;No VIS;1;Suba;31654;Ilarco 114;
Cl. 118 # 11A-05;Santa Bárbara;4.6965;-74.0376;No VIS;1;Usaquén;31656;Vita 118;
Cl. 126D # 104-01;Corinto;4.7284;-74.1023;No VIS;51;Suba;31669;Mirador Corinto Reservado;
Cr. 14A # 109-81;Santa Paula;4.6928;-74.0433;No VIS;1;Usaquén;31670;Jade Plus +;
Cl. 92 # 17-31;Chicó;4.6766;-74.0543;No VIS;5;Chapinero;31675;La Toscana;
Cl. 85 # 7-16;Chicó;4.6655;-74.0469;No VIS;7;Chapinero;31679;Icon Cabrera +;
Cr. 16 # 93-21;Chicó;4.6777;-74.0525;No VIS;4;Chapinero;31680;Balcony 93-16 +;
Cl. 106 # 19A-23;Chicó Navarra;4.6928;-74.0405;No VIS;1;Usaquén;31681;Saga 106;
Cr. 7BBis # 126-84;Santa Bárbara;4.7023;-74.0308;No VIS;1;Usaquén;31688;El Roble 127;
Cr. 7C # 127-44;Bella Suiza;4.7034;-74.0308;No VIS;1;Usaquén;31689;Bau 127;
Cr. 17 # 93A-38;Chicó;4.6787;-74.0527;No VIS;3;Chapinero;31690;Orvieto;
Cl. 109 # 21-57;Chicó Navarra;4.696;-74.0544;No VIS;3;Usaquén;31694;Loretto 109;
Cr. 14A # 127A-36;La Carolina;4.7061;-74.0415;No VIS;3;Usaquén;31702;Marankal;
Cr. 100 # 148-84;Campiña;4.7444;-74.0906;No VIS;2;Suba;31706;Valle del Refous II;
Cr. 13 # 119-71;Santa Bárbara;4.6999;-74.04;No VIS;4;Usaquén;31711;Laya 119;
Cl. 128B # 19-40;Calleja;4.7134;-74.0484;No VIS;30;Usaquén;31718;Saint Thomas;
Cl. 105 # 19A-74;Chicó Navarra;4.6926;-74.053;No VIS;2;Usaquén;31722;Platino Park 105;
Cl. 97 # 21-23;Chicó;4.6841;-74.0554;No VIS;14;Chapinero;31730;Botanika Otium;
Cl. 108 # 45A-51;Pasadena;4.6953;-74.0568;No VIS;2;Suba;31738;Akantos 108 +;
Cr. 18 # 84-56;Antiguo Country;4.6703;-74.0571;No VIS;9;Chapinero;31748;Country 85;
Cl. 88 # 7A-25;Cabrera;4.669;-74.0463;No VIS;10;Chapinero;31749;88 x 8 +;
Cr. 11BBis # 118-97;Santa Bárbara;4.6981;-74.0376;No VIS;2;Usaquén;31756;Lerén 118;
Cr. 51 # 102A-64;Pasadena;4.6909;-74.0618;No VIS;4;Suba;31758;Fenicia Aptos.;
