,Barrio,acc_transito,homicidios,hurto_autos_x,hurto_comercial,hurto_autos_y,hurto_financieras,hurto_motos,conteo_hurto_residencial,conteo_lesiones_personales,conteo_pirateria,hurto_personas
0,BELLA SUIZA E-1,21.0,,119.0,112.0,119.0,,103.0,511.0,2716.0,5.0,1772.0
1,FRANCO E-9,6.0,,2.0,56.0,2.0,,6.0,,6.0,,67.0
2,BOSA E-7,5.0,,25.0,96.0,25.0,,46.0,48.0,59.0,1.0,381.0
3,CIUDAD KENNEDY CENTRAL E-8,5.0,4.0,39.0,189.0,39.0,,43.0,44.0,58.0,,379.0
4,AUTOPISTA SUR E-15,5.0,,1.0,,1.0,,,1.0,1.0,,
5,RESTREPO E-15,4.0,3.0,26.0,93.0,26.0,,8.0,18.0,51.0,,204.0
6,PATIO BONITO I E-8,4.0,5.0,17.0,87.0,17.0,,52.0,33.0,94.0,1.0,363.0
7,SOCIEGO SUR E-18,4.0,,3.0,17.0,3.0,,4.0,5.0,11.0,,50.0
8,SANTA BARBARA CENTRAL E-1,4.0,,,96.0,,,1.0,26.0,14.0,,299.0
9,LA CAPUCHINA E-3,4.0,2.0,,57.0,,,,4.0,34.0,,437.0
10,PARQUE EL TUNAL E-6,4.0,,1.0,5.0,1.0,,1.0,1.0,3.0,,88.0
11,CIUDAD JARDIN SUR E-15,4.0,1.0,10.0,22.0,10.0,,7.0,15.0,11.0,,127.0
12,GRAN AMERICA E-13,3.0,,,29.0,,,,7.0,4.0,,76.0
13,BOLIVIA E-10,3.0,1.0,6.0,23.0,6.0,,9.0,18.0,19.0,,80.0
14,PROVIVIENDA OCCIDENTAL E-8,3.0,,8.0,6.0,8.0,,9.0,13.0,2.0,,169.0
15,LAS MARGARITAS E-1,3.0,,1.0,25.0,1.0,,,4.0,4.0,,91.0
16,LOS ALAMOS E-10,3.0,1.0,10.0,38.0,10.0,1.0,4.0,9.0,7.0,1.0,140.0
17,VENECIA E-6,3.0,3.0,10.0,63.0,10.0,,6.0,20.0,42.0,,263.0
18,SANTA ISABEL E-14,3.0,4.0,15.0,19.0,15.0,,7.0,15.0,15.0,,104.0
19,LAS ACACIAS E-19,3.0,6.0,2.0,9.0,2.0,,11.0,4.0,19.0,,27.0
20,EDUARDO SANTOS E-14,3.0,3.0,6.0,17.0,6.0,,4.0,9.0,25.0,,66.0
21,QUINTA CAMACHO E-2,3.0,,,99.0,,1.0,1.0,7.0,8.0,,233.0
22,LAS DELICIAS E-8,3.0,2.0,9.0,30.0,9.0,,9.0,14.0,10.0,1.0,113.0
