TIPO;NOMBRE;SHAPE_AREA;SHAPE_LEN
Parque Zonal;TIBABUYES;818,293,673,268,000;55,470,067,537,500
Parque Zonal;LA IGUALDAD;7,339,516,130,490,000;190,272,921,138,000
Parque Zonal;LA FRAGUA;3,619,160,161,630,000;133,511,091,860,000
Parque Zonal;VILLA MAYOR CEMENTERIO DEL SUR;7,440,562,848,110,000;164,605,713,532,000
Parque Metropolitano;CALLE 26 ( EL RENACIMIENTO - PARQUE CEMENTERIO CENTRAL - DAM;2,749,816,547,440,000;71,542,192,458,300
Parque Zonal;EDUARDO SANTOS;894,698,177,705,000;47,482,918,195,500
Parque Zonal;SANTA ISABEL;2,252,131,625,490,000;135,196,968,288,000
Parque Metropolitano;SIMON BOLIVAR ( SECTOR CENTRAL );100,480,389,555,000,000;383,188,232,256,000
Parque Zonal;GIMNASIO DISTRITAL DEL NORTE;810,419,018,267,000;36,212,633,497,500
Parque Zonal;SAN JOS?Î DE BAVARIA;5,614,512,321,140,000;100,824,541,222,000
Parque Zonal;MORATO;337,895,911,020,000;22,629,637,358,600
Parque Zonal;CASA BLANCA;3,249,583,843,620,000;98,823,296,470,400
Parque Metropolitano;SIMON BOLIVAR ( SECTOR JARDIN BOTANICO );20,011,107,286,300,000;181,638,899,990,000
Parque Zonal;VILLAS DE GRANADA;2,846,479,346,680,000;72,070,308,897,700
Parque Zonal;LA SERENA;3,118,843,526,350,000;101,190,853,218,000
Parque Zonal;TABORA;2,043,684,506,600,000;66,505,422,293,900
Parque Zonal;VILLA LUZ;4,750,531,969,720,000;124,097,520,596,000
Parque Zonal;SAN ANDRES;6,849,287,547,650,000;105,411,238,182,000
Parque Zonal;PARQUE LAS FLORES;191,850,266,977,000;18,400,400,262,400
Parque Metropolitano;SIMON BOLIVAR ( SECTOR PARQUE DE LOS NOVIOS );17,551,105,861,700,000;199,381,496,508,000
Parque Metropolitano;MIRADOR DE LOS NEVADOS;6,129,025,757,020,000;125,093,215,465,000
Parque Zonal;ATAHUALPA;3,309,499,101,990,000;72,770,145,391,300
Parque Metropolitano;ZONA FRANCA (PM-16);24,273,843,789,700,000;248,984,221,673,000
Parque Zonal;LA AMISTAD;1,198,672,462,860,000;56,209,164,438,000
Parque Zonal;CASTILLA;1,256,304,027,300,000;46,753,939,151,600
Parque Zonal;LAS MARGARITAS;8,052,467,053,930,000;117,311,857,869,000
Parque Metropolitano;CAYETANO CA?ÊIZARES;8,254,016,305,640,000;148,071,202,258,000
Parque Metropolitano;MUNDO AVENTURA ( AMERICAS );12,917,732,514,400,000;195,832,515,733,000
Parque Metropolitano;BIBLIOTECA EL TINTAL;2,771,929,129,580,000;102,877,005,284,000
Parque Zonal;NARANJOS;1,966,926,372,780,000;91,780,272,804,400
Parque Zonal;PALESTINA;641,936,255,575,000;33,231,887,736,000
Parque Metropolitano;TIMIZA(SECTOR VILLA DEL RIO);6,572,467,589,420,000;193,556,286,518,000
Parque Zonal;PAVCO - AUTOPISTA SUR;1,415,267,055,520,000;70,363,132,009,900
Parque Zonal;PARQUE DEL RIO;2,591,703,181,480,000;81,331,193,534,900
Parque Zonal;TIBANICA;3,988,288,200,540,000;106,744,892,008,000
Parque Metropolitano;EL TUNAL;64,723,785,954,800,000;329,105,240,586,000
Parque Zonal;LA ANDREA;504,096,918,626,000;34,348,482,769,100
Parque Zonal;VALLES DE CAFAM;1,214,136,645,890,000;70,690,052,288,800
Parque Zonal;VILLA DE LOS ALPES;2,000,979,231,210,000;62,135,259,570,200
Parque Zonal;GAITAN CORTES;3,794,224,737,700,000;103,234,354,065,000
Parque Zonal;MORALBA;860,516,283,124,000;38,437,449,652,000
Parque Metropolitano;ENTRE NUBES ( JUAN REY LAS DELICIAS-SANTA LUCIA );27,429,399,892,600,000;433,645,411,594,000
Parque Metropolitano;SAN CRISTOBAL;10,912,067,465,200,000;142,707,925,470,000
Parque Metropolitano;DEPORTIVO PRIMERO DE MAYO;4,611,776,055,030,000;97,749,598,037,500
Parque Metropolitano;PARQUE NACIONAL (PM-2A) ENRIQUE OLAYA HERRERA ( SEGUNDA ETAPA SECTOR CENTRAL );30,496,939,742,500,000;234,859,795,775,000
Parque Metropolitano;PARQUE NACIONAL (PM-2A) ENRIQUE OLAYA HERRERA ( SECTOR HISTORICO );13,552,778,470,700,000;178,570,351,461,000
Parque Metropolitano;TERCER MILENIO;14,696,684,032,400,000;155,961,769,690,000
Parque Zonal;GUSTAVO URIBE BOTERO;1,101,360,438,490,000;53,310,271,630,300
Parque Zonal;LA VIDA;3,028,195,544,060,000;112,114,643,237,000
Parque Zonal;ILLIMANI (PARAISO);4,206,276,312,240,000;117,851,196,778,000
Parque Zonal;SAN CAYETANO;1,019,408,592,820,000;44,780,288,756,400
Parque Zonal;CIUDAD JARDIN;6,251,684,525,120,000;181,211,636,018,000
Parque Zonal;VILLA ALEMANA;5,790,127,698,690,000;112,712,824,922,000
Parque Zonal;ARBORIZADORA ALTA;902,437,176,562,000;41,161,401,656,300
Parque Zonal;LA VICTORIA;2,149,000,444,780,000;69,031,157,110,800
Parque Zonal;TANQUE EL VOLADOR;593,815,470,037,000;31,391,621,244,800
Parque Zonal;DIANA TURBAY;6,602,351,894,800,000;272,270,292,629,000
Parque Zonal;LOS LACHES LA MINA;3,843,206,661,730,000;194,355,934,902,000
Parque Metropolitano;SIMON BOLIVAR ( SECTOR PLAZA DE ARTESANOS );3,898,787,325,490,000;87,782,863,156,500
Parque Metropolitano;SIMON BOLIVAR (SECTOR CENTRO DE ALTO RENDIMIENTO );18,687,771,989,600,000;169,028,223,192,000
Parque Metropolitano;SIMON BOLIVAR ( SECTOR SALITRE MAGICO );33,985,840,477,400,000;258,923,025,637,000
Parque Metropolitano;SIMON BOLIVAR (SECTOR MUSEO DE LOS NI?ÊOS );2,807,603,897,420,000;67,569,133,813,200
