nombre_del_museo;telefono_fijo;pagina_web;direccion;localidad;upz;nombre_de_la_entidad_administradora_del_equipamiento;ano_inicio;caracter;del_orden
TEATRO UNIVERSIDAD LA SALLE SEDE NORTE;6772799;N.D;KR 7 172 85;USAQUêN;LA URIBE;UNIVERSIDAD LA SALLE;N.D;PRIVADA;Teatro / Auditorio
CENTRO CULTURAL  WILLIAM SHEKESPEARE;6147555;http://www.anglocolombiano.edu.co/;AK 19 152A 48;USAQUêN;LOS CEDROS;COLEGIO ANGLOCOLOMBIANO;1994;PRIVADA;Teatro / Auditorio
AUDITORIO COLEGIO DE NUESTRA SE•ORA DEL BUEN CONSEJO;2562963;http://www.colbuenco.edu.co/;CL 104 17 22;USAQUêN;SANTA BARBARA;COLEGIO DE NUESTRA SE•ORA DEL BUEN CONSEJO - RELIGIOSAS AGUSTINAS MISIONERAS;1962;PRIVADA;Teatro / Auditorio
TEATRO AUDITORIO LEONARDUS;6484502;http://www.davinci.edu.co/;KR 21 127 23;USAQUêN;COUNTRY CLUB;ISTITUZIONE LEONARDO DA VINCI;1999;PRIVADA;Teatro / Auditorio
TEATRO PATRIA;2147973;N.D;AK 7 102 51;USAQUêN;USAQUEN;TEATRO PATRIA;N.D;PRIVADA;Teatro / Auditorio
CENTRO DE DESARROLLO COMUNITARIO SIM‡N BOL÷VAR;N.D;http://www.integracionsocial.gov.co/;CL 165 7 52;USAQUêN;LA URIBE;SECRETAR÷A DISTRITAL DE INTEGRACI‡N SOCIAL;1982;PÈBLICA;Teatro / Auditorio
AUDITORIO PAULO FREIRE;5941894 EXT 470;http://www.pedagogica.mineducacion.org/;CL 72 11 86;CHAPINERO;CHICO LAGO;UNIVERSIDAD PEDAGOGICA - DIVISI‡N DE ADMISIONES Y REGISTRO;N.D;PÈBLICA;Teatro / Auditorio
AUDITORIO TORRE‡N BLOQUE B 319;N.D;http://www.pedagogica.edu.co/;CL 72 11 86;CHAPINERO;CHICO LAGO;UNIVERSIDAD PEDAG‡GICA NACIONAL;1985;PÈBLICA;Teatro / Auditorio
AUDITORIO SALA ERNESTO BEIN;3477954;http://www.gimnasiomoderno.edu.co/;KR 9 74 99;CHAPINERO;CHICO LAGO;COLEGIO GIMNASIO MODERNO;1988;PRIVADA;Teatro / Auditorio
TEATRO ASTOR PLAZA;5406215;http://www.astorplaza.com/;CL 67 11 58;CHAPINERO;CHICO LAGO;HERNAN ORJUELA BUENAVENTURA;N.D;PRIVADA;Teatro / Auditorio
CLUB DE TEATRO EXPERIMENTAL LA MAMA;2112709;http://www.teatrolamama.com/;CL 63 9 60;CHAPINERO;CHAPINERO;DAMIAN ARMANDO RODRIGUEZ;N.D;PRIVADA;Teatro / Auditorio
TEATRO LA BARANDA;2353708;http://www.teatrolabaranda.com/;KR 6 54 04;CHAPINERO;PARDO RUBIO;FUNDACI‡N LA BARANDA;1985;PRIVADA;Teatro / Auditorio
TEATRO NACIONAL FANNY MICKEY;21745770;http://teatronacional.co/index.php;CL 71 10 25;CHAPINERO;CHICO LAGO;FUNDACI‡N TEATRO NACIONAL;1980;PRIVADA;Teatro / Auditorio
